Model,Accuracy,Precision,Recall,Macro_F1
Logistic Regression,0.39248203427307904,0.33254808489600324,0.463883846740529,0.3665511820653515
Linear SVM,0.37276580062649717,0.29260169397926894,0.3987018241011992,0.3244306804662504
